"UniProt_ID"	"GENE_ID"	"Gene_Name"	"Gene_products"
"Q54U98"	"DDB_G0281199"	"DDB_G0281199"	"unknown"
"Q54U99"	"DDB_G0281197"	"DDB_G0281197"	""
"Q54UA0"	"DDB_G0281195"	"DDB_G0281195"	"unknown"
"Q54UA1"	"DDB_G0281193"	"DDB_G0281193"	"unknown"
"Q54UA2"	"DDB_G0281191"	"DDB_G0281191"	""
"Q54UA3"	"DDB_G0281189"	"DDB_G0281189"	"unknown"
"Q54UA4"	"DDB_G0281187"	"DDB_G0281187"	"unknown"
"Q54UA6"	"DDB_G0281185"	"DDB_G0281185"	""
"Q54UA7"	"DDB_G0281183"	"DDB_G0281183"	"RING zinc finger-containing protein"
"Q54UA8"	"DDB_G0281181"	"DDB_G0281181"	""
"Q54UA9"	"DDB_G0281179"	"clkA"	"putative protein serine/threonine kinase, protein kinase, CMGC group, CLK family protein kinase"
"Q54UB0"	"DDB_G0281177"	"tmem208"	"transmembrane protein, DUF788 family protein"
"Q54UB1"	"DDB_G0281175"	"trmt6"	"tRNA(m1A58)-methyltransferase subunit, tRNA (adenine-N(1)-)-methyltransferase non-catalytic subunit"
"Q54UB2"	"DDB_G0281319"	"DDB_G0281319"	"Dystrophia myotonica WD repeat-containing protein"
"Q54UB3"	"DDB_G0281173"	"DDB_G0281173"	""
"Q54UB4"	"DDB_G0281317"	"DDB_G0281317"	""
"Q54UB5"	"DDB_G0281315"	"psmD11"	"26S proteasome non-ATPase regulatory subunit 11, 26S proteasome regulatory subunit S9"
"Q54UB6"	"DDB_G0281313"	"DDB_G0281313"	""
"Q54UB7"	"DDB_G0281171"	"oxaB"	"putative oxidase assembly protein"
"Q54UB9"	"DDB_G0281169"	"DDB_G0281169"	""
"Q54UC0"	"DDB_G0281167"	"dnapkcs"	"DNA-dependent protein kinase catalytic subunit"
"Q54UC1"	"DDB_G0281165"	"DDB_G0281165"	"heat shock factor (HSF)-type DNA-binding domain-containing protein"
"Q54UC2"	"DDB_G0281163"	"cog2"	"oligomeric Golgi complex component"
"Q54UC3"	"DDB_G0281161"	"DDB_G0281161"	""
"Q54UC4"	"DDB_G0281311"	"DDB_G0281311"	""
"Q54UC5"	"DDB_G0281309"	"DDB_G0281309"	"UPF0717 family protein"
"Q54UC6"	"DDB_G0281159"	"DDB_G0281159"	""
"Q54UC7"	"DDB_G0281157"	"DDB_G0281157"	""
"Q54UC8"	"DDB_G0281155"	"DDB_G0281155"	"sugar transporter family protein"
"Q54UC9"	"DDB_G0280967"	"kif3"	"kinesin family member 3"
"Q54UD0"	"DDB_G0281153"	"eif3H"	"eukaryotic translation initiation factor 3 (eIF3) subunit H"
"Q54UD1"	"DDB_G0281151"	"DDB_G0281151"	"DNA repair XPGC family protein"
"Q54UD2"	"DDB_G0281149"	"DDB_G0281149"	""
"Q54UD3"	"DDB_G0281147"	"DDB_G0281147"	""
"Q54UD5"	"DDB_G0281143"	"DDB_G0281143"	""
"Q54UD6"	"DDB_G0281141"	"DDB_G0281141"	""
"Q54UD7"	"DDB_G0281139"	"DDB_G0281139"	""
"Q54UD8"	"DDB_G0281137"	"DDB_G0281137"	"RabGAP/TBC domain-containing protein, putative GTPase activating protein (GAP)"
"Q54UD9"	"DDB_G0281135"	"DDB_G0281135"	""
"Q54UE0"	"DDB_G0281133"	"DDB_G0281133"	""
"Q54UE1"	"DDB_G0281131"	"DDB_G0281131"	""
"Q54UE6"	"DDB_G0281121"	"DDB_G0281121"	""
"Q54UE8"	"DDB_G0281117"	"DDB_G0281117"	""
"Q54UE9"	"DDB_G0281115"	"DDB_G0281115"	"pirin family protein"
"Q54UF0"	"DDB_G0281113"	"DDB_G0281113"	"unknown"
"Q54UF1"	"DDB_G0281307"	"arl2"	"ARF-like protein, ADP-ribosylation factor-like protein"
"Q54UF2"	"DDB_G0281111"	"DDB_G0281111"	"Folliculin"
"Q54UF3"	"DDB_G0281109"	"odc"	"group IV decarboxylase, Orn/DAP/Arg decarboxylase 2 domain-containing protein, ornithine decarboxylase"
"Q54UF5"	"DDB_G0281105"	"DDB_G0281105"	""
"Q54UF6"	"DDB_G0281103"	"gpt10"	"putative glycophosphotransferase"
"Q54UF7"	"DDB_G0281101"	"ldhA"	"D-lactate dehydrogenase"
"Q54UF8"	"DDB_G0281099"	"DDB_G0281099"	"TMS membrane protein/tumour differentially expressed (TDE) family protein"
"Q54UF9"	"DDB_G0281097"	"DDB_G0281097"	"pseudouridine synthase family protein"
"Q54UG2"	"DDB_G0281301"	"DDB_G0281301"	"SAP DNA-binding domain-containing protein"
"Q54UG3"	"DDB_G0281095"	"DDB_G0281095"	"SAP DNA-binding domain-containing protein"
"Q54UG4"	"DDB_G0281093"	"rpl37A"	"S60 ribosomal protein L37A, large subunit ribosomal protein, ribosomal protein"
"Q54UG5"	"DDB_G0280965"	"gbqA"	"G-protein alpha subunit family protein, guanine nucleotide binding protein"
"Q54UG6"	"DDB_G0281091"	"DDB_G0281091"	"leucine-rich repeat-containing protein"
"Q54UG7"	"DDB_G0281089"	"prkab"	"AMP-activated protein kinase beta subunit"
"Q54UG8"	"DDB_G0281087"	"gtaV"	"putative GATA-binding transcription factor, GATA zinc finger domain-containing protein 22"
"Q54UG9"	"DDB_G0281085"	"tfiiiA"	"C2H2-type zinc finger-containing protein, transcription initiation factor IIIA"
"Q54UH0"	"DDB_G0281083"	"DDB_G0281083"	""
"Q54UH1"	"DDB_G0281081"	"htrA"	"HTRA2 protein"
"Q54UH2"	"DDB_G0281079"	"DDB_G0281079"	""
"Q54UH3"	"DDB_G0281077"	"DDB_G0281077"	""
"Q54UH6"	"DDB_G0281075"	"DDB_G0281075"	""
"Q54UH7"	"DDB_G0281073"	"DDB_G0281073"	""
"Q54UH8"	"DDB_G0281071"	"serA"	"3-phosphoglycerate dehydrogenase"
"Q54UH9"	"DDB_G0281069"	"DDB_G0281069"	""
"Q54UI0"	"DDB_G0281067"	"DDB_G0281067"	"putative transmembrane protein"
"Q54UI1"	"DDB_G0281065"	"DDB_G0281065"	""
"Q54UI3"	"DDB_G0281061"	"wdr4"	"WD40 repeat-containing protein"
"Q54UI4"	"DDB_G0281295"	"DDB_G0281295"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UI5"	"DDB_G0281059"	"DDB_G0281059"	"methyltransferase type 12 domain-containing protein"
"Q54UI6"	"DDB_G0280963"	"rrpC"	"RNA-directed RNA polymerase RrpC"
"Q54UI7"	"DDB_G0281057"	"DDB_G0281057"	""
"Q54UI8"	"DDB_G0281055"	"DDB_G0281055"	"putative SAM dependent methyltransferase"
"Q54UI9"	"DDB_G0281053"	"DDB_G0281053"	"putative SAM dependent methyltransferase"
"Q54UJ0"	"DDB_G0281051"	"psmD12"	"26S proteasome non-ATPase regulatory subunit 12, 26S proteasome regulatory subunit p55"
"Q54UJ1"	"DDB_G0281049"	"DDB_G0281049"	""
"Q54UJ2"	"DDB_G0281047"	"gxcEE"	"RhoGEF domain-containing protein, IQ calmodulin-binding domain-containing protein"
"Q54UJ3"	"DDB_G0281045"	"DDB_G0281045"	"paired amphipathic helix (PAH) containing protein"
"Q54UJ4"	"DDB_G0281043"	"DDB_G0281043"	""
"Q54UJ6"	"DDB_G0281039"	"DDB_G0281039"	""
"Q54UJ7"	"DDB_G0281037"	"DDB_G0281037"	""
"Q54UJ8"	"DDB_G0281035"	"DDB_G0281035"	""
"Q54UJ9"	"DDB_G0281033"	"DDB_G0281033"	""
"Q54UK0"	"DDB_G0281031"	"pldA"	"phospholipase D1"
"Q54UK1"	"DDB_G0281029"	"DDB_G0281029"	""
"Q54UK2"	"DDB_G0281027"	"DDB_G0281027"	""
"Q54UK3"	"DDB_G0281025"	"DDB_G0281025"	""
"Q54UK5"	"DDB_G0281021"	"DDB_G0281021"	"erg28 family protein"
"Q54UK6"	"DDB_G0281019"	"DDB_G0281019"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UK7"	"DDB_G0281017"	"DDB_G0281017"	"hssA/2C/7E family protein"
"Q54UK8"	"DDB_G0281015"	"DDB_G0281015"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UK9"	"DDB_G0281013"	"DDB_G0281013"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UL0"	"DDB_G0281011"	"DDB_G0281011"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UL2"	"DDB_G0281007"	"DDB_G0281007"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UL3"	"DDB_G0281005"	"DDB_G0281005"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UL4"	"DDB_G0281003"	"DDB_G0281003"	"hssA/2C/7E family protein"
"Q54UL5"	"DDB_G0281001"	"DDB_G0281001"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UL6"	"DDB_G0280999"	"DDB_G0280999"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UL7"	"DDB_G0280997"	"DDB_G0280997"	"zinc-containing alcohol dehydrogenase (ADH)"
"Q54UL8"	"DDB_G0280995"	"mps1"	"TTK family protein kinase Mps1"
"Q54UL9"	"DDB_G0280993"	"DDB_G0280993"	"DUF1692 family protein"
"Q54UM0"	"DDB_G0280991"	"DDB_G0280991"	""
"Q54UM1"	"DDB_G0280989"	"hop2"	"homologous-pairing protein 2"
"Q54UM2"	"DDB_G0280987"	"DDB_G0280987"	""
"Q54UM3"	"DDB_G0280985"	"udpB"	"uridine phosphorylase"
"Q54UM5"	"DDB_G0280955"	"dsgg"	"GTPase activating protein (GAP) Dsgg"
"Q54UM6"	"DDB_G0280953"	"DDB_G0280953"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UM7"	"DDB_G0280951"	"DDB_G0280951"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UM8"	"DDB_G0280949"	"DDB_G0280949"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UM9"	"DDB_G0280935"	"DDB_G0280935"	""
"Q54UN1"	"DDB_G0280931"	"DDB_G0280931"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UN2"	"DDB_G0280929"	"DDB_G0280929"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UN4"	"DDB_G0280925"	"DDB_G0280925"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UN5"	"DDB_G0280947"	"DDB_G0280947"	"UPF0171 family protein"
"Q54UN6"	"DDB_G0280923"	"DDB_G0280923"	"ankyrin repeat-containing protein"
"Q54UN7"	"DDB_G0280921"	"DDB_G0280921"	"Phox domain-containing protein"
"Q54UN8"	"DDB_G0280919"	"DDB_G0280919"	"unknown"
"Q54UP0"	"DDB_G0280915"	"DDB_G0280915"	""
"Q54UP1"	"DDB_G0280913"	"DDB_G0280913"	"Putative ATP-dependent helicase IRC3"
"Q54UP2"	"DDB_G0280911"	"DDB_G0280911"	""
"Q54UP3"	"DDB_G0280945"	"DDB_G0280945"	""
"Q54UP4"	"DDB_G0280909"	"tal"	"transaldolase"
"Q54UP5"	"DDB_G0280907"	"xpo4"	"exportin 4"
"Q54UP6"	"DDB_G0280905"	"DDB_G0280905"	""
"Q54UP7"	"DDB_G0280903"	"DDB_G0280903"	"unknown"
"Q54UP9"	"DDB_G0280943"	"elmoD"	"engulfment and cell motility ELM family protein D"
"Q54UQ2"	"DDB_G0280897"	"pgmB"	"phosphoglucomutase"
"Q54UQ3"	"DDB_G0280895"	"DDB_G0280895"	"WD40 repeat-containing protein, cyclin-like F-box containing protein, START domain-containing protein"
"Q54UQ4"	"DDB_G0280893"	"rbsk"	"ribokinase, ATP:D-ribose 5-phosphotransferase"
"Q54UQ5"	"DDB_G0280891"	"pigV"	"phosphatidylinositol glycan, class V"
"Q54UQ6"	"DDB_G0280889"	"DDB_G0280889"	"Iron-sulfur cluster co-chaperone protein HscB, mitochondrial"
"Q54UQ7"	"DDB_G0280887"	"arpD"	"actin-like protein 6A, actin related protein 4"
"Q54UQ8"	"DDB_G0280885"	"DDB_G0280885"	"transmembrane protein"
"Q54UR0"	"DDB_G0280881"	"DDB_G0280881"	"putative glutathione S-transferase"
"Q54UR1"	"DDB_G0280879"	"DDB_G0280879"	"CCHC-type zinc finger-containing protein"
"Q54UR2"	"DDB_G0280877"	"DDB_G0280877"	""
"Q54UR3"	"DDB_G0280875"	"DDB_G0280875"	""
"Q54UR4"	"DDB_G0280873"	"DDB_G0280873"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UR6"	"DDB_G0280871"	"DDB_G0280871"	"coiled-coil family protein, hssA/2C/7E family protein"
"Q54UR7"	"DDB_G0280869"	"DDB_G0280869"	""
"Q54UR8"	"DDB_G0280867"	"DDB_G0280867"	"EGF-like domain-containing protein"
"Q54UR9"	"DDB_G0280941"	"DDB_G0280941"	""
"Q54US3"	"DDB_G0280859"	"DDB_G0280859"	""
"Q54US4"	"DDB_G0280857"	"DDB_G0280857"	""
"Q54US5"	"DDB_G0280939"	"DDB_G0280939"	""
"Q54US6"	"DDB_G0280855"	"DDB_G0280855"	"putative protein serine/threonine kinase, protein kinase, CMGC group"
"Q54US7"	"DDB_G0280853"	"gtaU"	"putative GATA-binding transcription factor, GATA zinc finger domain-containing protein 21"
"Q54US8"	"DDB_G0280851"	"DDB_G0280851"	"putative sarcosine/L-pipecolate oxidase"
"Q54UT2"	"DDB_G0280843"	"dgk"	"deoxyguanosine kinase"
"Q54UT3"	"DDB_G0280841"	"DDB_G0280841"	""
"Q54UT4"	"DDB_G0280839"	"DDB_G0280839"	""
"Q54UT5"	"DDB_G0280837"	"DDB_G0280837"	""
"Q54UT6"	"DDB_G0280835"	"DDB_G0280835"	"unknown"
"Q54UU1"	"DDB_G0280827"	"trappc4"	"trafficking protein particle complex subunit 4"
"Q54UU2"	"DDB_G0280825"	"DDB_G0280825"	"transferase hexapeptide repeat family protein, putative acetyltransferase"
"Q54UU3"	"DDB_G0280823"	"rps6"	"40S ribosomal protein S6"
"Q54UU6"	"DDB_G0280805"	"DDB_G0280805"	"ribosomal RNA assembly protein"
"Q54UU7"	"DDB_G0280803"	"DDB_G0280803"	"unknown"
"Q54UU8"	"DDB_G0280815"	"trrA"	"thioredoxin reductase"
"Q54UU9"	"DDB_G0280813"	"DDB_G0280813"	"phosphatidylinositol 3-kinase, FYVE-type zinc finger-containing protein"
"Q54UV0"	"DDB_G0280801"	"DDB_G0280801"	""
"Q54UV1"	"DDB_G0280799"	"DDB_G0280799"	""
"Q54UV2"	"DDB_G0280797"	"DDB_G0280797"	"putative ribosomal RNA processing protein RRP19"
"Q54UV3"	"DDB_G0280795"	"DDB_G0280795"	""
"Q54UV4"	"DDB_G0280793"	"DDB_G0280793"	""
"Q54UV7"	"DDB_G0280811"	"DDB_G0280811"	"unknown"
"Q54UV8"	"DDB_G0280809"	"DDB_G0280809"	"SAP DNA-binding domain-containing protein"
"Q54UV9"	"DDB_G0280787"	"DDB_G0280787"	"SAP DNA-binding domain-containing protein"
"Q54UW0"	"DDB_G0280785"	"DDB_G0280785"	"SAP DNA-binding domain-containing protein"
"Q54UW1"	"DDB_G0280783"	"DDB_G0280783"	"UPF0235 family protein"
"Q54UW2"	"DDB_G0280781"	"DDB_G0280781"	""
"Q54UW3"	"DDB_G0280779"	"DDB_G0280779"	""
"Q54UW4"	"DDB_G0280777"	"DDB_G0280777"	"bromodomain-containing protein, BRD group protein"
"Q54UW5"	"DDB_G0280775"	"rvb2"	"AAA ATPase domain-containing protein, RuvB-like protein 2"
"Q54UW6"	"DDB_G0280773"	"DDB_G0280773"	""
"Q54UW8"	"DDB_G0280771"	"DDB_G0280771"	""
"Q54UW9"	"DDB_G0280769"	"DDB_G0280769"	""
"Q54UX0"	"DDB_G0280767"	"DDB_G0280767"	"Peptidase M20 domain-containing protein 2"
"Q54UX1"	"DDB_G0280765"	"DDB_G0280765"	"RING zinc finger-containing protein, Kelch repeat-containing protein"
"Q54UX3"	"DDB_G0280763"	"hemA"	"5-aminolevulinate synthase, ALA synthase"
"Q54UX4"	"DDB_G0280761"	"DDB_G0280761"	"putative sodium-dependent phosphate transporter"
"Q54UX5"	"DDB_G0280759"	"DDB_G0280759"	""
"Q54UX6"	"DDB_G0280757"	"DDB_G0280757"	""
"Q54UX9"	"DDB_G0280733"	"DDB_G0280733"	""
"Q54UY2"	"DDB_G0280727"	"DDB_G0280727"	""
"Q54UY3"	"DDB_G0280725"	"DDB_G0280725"	"pirin family protein"
"Q54UY7"	"DDB_G0280751"	"DDB_G0280751"	""
"Q54UY8"	"DDB_G0280721"	"DDB_G0280721"	""
"Q54UZ1"	"DDB_G0280717"	"DDB_G0280717"	"MAST family protein kinase DDB_G0280717"
"Q54UZ5"	"DDB_G0280709"	"DDB_G0280709"	""
"Q54UZ6"	"DDB_G0280707"	"DDB_G0280707"	""
"Q54UZ7"	"DDB_G0280747"	"DDB_G0280747"	"CDGSH iron-sulfur domain-containing protein"
"Q54UZ8"	"DDB_G0280705"	"chdB"	"chromodomain-helicase-DNA-binding protein B"
"Q54UZ9"	"DDB_G0280703"	"DDB_G0280703"	"elongation factor 1b-related protein, elongation factor 1beta-related protein"
"Q54V05"	"DDB_G0280693"	"tgrB2"	"IPT/TIG domain-containing protein"
"Q54V06"	"DDB_G0280691"	"DDB_G0280691"	"unknown"
"Q54V07"	"DDB_G0280689"	"tgrB1"	"Tiger protein B1"
"Q54V27"	"DDB_G0280543"	"lmcA"	"unknown"
"Q54V32"	"DDB_G0280547"	"comH"	"putative GATA-binding transcription factor, GATA zinc finger domain-containing protein 2"
"Q54V35"	"DDB_G0280643"	"DDB_G0280643"	"putative protein serine/threonine kinase, protein kinase, CMGC group"
"Q54V37"	"DDB_G0280639"	"gtaT"	"putative GATA-binding transcription factor, GATA zinc finger domain-containing protein 20"
"Q54V39"	"DDB_G0280637"	"DDB_G0280637"	""
"Q54V40"	"DDB_G0280635"	"tgrC2"	"IPT/TIG domain-containing protein"
"Q54V41"	"DDB_G0280633"	"arrK"	"ADP-ribosylation factor-related, ARF-related"
"Q54V44"	"DDB_G0280627"	"gtaS"	"putative GATA-binding transcription factor, GATA zinc finger domain-containing protein 19"
"Q54V46"	"DDB_G0280623"	"tgrC3"	"IPT/TIG domain-containing protein"
"Q54V47"	"DDB_G0280621"	"arrJ"	"ADP-ribosylation factor-related, ARF-related"
"Q54V48"	"DDB_G0280619"	"DDB_G0280619"	""
"Q54V50"	"DDB_G0280615"	"DDB_G0280615"	""
"Q54V51"	"DDB_G0280613"	"DDB_G0280613"	""
"Q54V53"	"DDB_G0280537"	"wacA"	"aquaporin-like protein"
"Q54V54"	"DDB_G0280609"	"ost4"	"dolichyl-diphosphooligosaccharide-protein glycotransferase subunit Ost4"
"Q54V55"	"DDB_G0280607"	"pfdn5"	"prefoldin subunit 5, prefoldin alpha-like domain containing protein"
"Q54V56"	"DDB_G0280605"	"DDB_G0280605"	""
"Q54V57"	"DDB_G0280603"	"rliD"	"MIZ/SP-RING zinc finger domain-containing protein"
"Q54V58"	"DDB_G0280601"	"DDB_G0280601"	"unknown"
"Q54V60"	"DDB_G0280597"	"DDB_G0280597"	""
"Q54V61"	"DDB_G0280595"	"ndufb7"	"NADH dehydrogenase ubiquinone 1 beta subcomplex subunit 7"
"Q54V63"	"DDB_G0280593"	"DDB_G0280593"	"Uncharacterized protein KIAA1370"
"Q54V64"	"DDB_G0280591"	"DDB_G0280591"	""
"Q54V68"	"DDB_G0280585"	"ubqK"	"ubiquitin K"
"Q54V69"	"DDB_G0280583"	"DDB_G0280583"	""
"Q54V70"	"DDB_G0280581"	"DDB_G0280581"	""
"Q54V71"	"DDB_G0280579"	"DDB_G0280579"	""
"Q54V72"	"DDB_G0280577"	"DDB_G0280577"	""
"Q54V73"	"DDB_G0280575"	"DDB_G0280575"	"Leucine-rich repeat-containing protein 45"
"Q54V74"	"DDB_G0280573"	"DDB_G0280573"	""
"Q54V75"	"DDB_G0280571"	"fut8"	"putative N-acetyl-beta-D-glucosaminide alpha-1,6-fucosyltransferase, putative glycosyltransferase"
"Q54V76"	"DDB_G0280569"	"uqcrq"	"cytochrome b-c1 complex subunit 8"
"Q54V77"	"DDB_G0280567"	"ctps"	"CTP synthase"
"Q54V78"	"DDB_G0280565"	"DDB_G0280565"	"calponin homology (CH) domain-containing protein"
"Q54V79"	"DDB_G0280563"	"DDB_G0280563"	""
"Q54V80"	"DDB_G0280561"	"DDB_G0280561"	""
"Q54V82"	"DDB_G0280559"	"DDB_G0280559"	"kinase motif-containing (KMC) protein"
"Q54V83"	"DDB_G0280557"	"DDB_G0280557"	"putative protein serine/threonine kinase, protein kinase, CMGC group"
"Q54V85"	"DDB_G0280555"	"DDB_G0280555"	""
"Q54V86"	"DDB_G0280539"	"abcC13"	"ABC transporter C family protein"
"Q54V87"	"DDB_G0280551"	"DDB_G0280551"	""
"Q54V88"	"DDB_G0280549"	"DDB_G0280549"	""
"Q54V89"	"DDB_G0280517"	"DDB_G0280517"	""
"Q54V91"	"DDB_G0280513"	"DDB_G0280513"	""
"Q54V92"	"DDB_G0280511"	"DDB_G0280511"	""
"Q54V93"	"DDB_G0280509"	"DDB_G0280509"	""
"Q54V94"	"DDB_G0280529"	"cstf2"	"RNA-binding region RNP-1 domain-containing protein, RNA recognition motif-containing protein RRM, cleavage stimulation factor 64 kDa subunit"
"Q54V95"	"DDB_G0280507"	"DDB_G0280507"	"Peptidyl-tRNA hydrolase"
"Q54V96"	"DDB_G0280505"	"tmem144A"	"transmembrane protein 144 A"
"Q54V97"	"DDB_G0280503"	"DDB_G0280503"	""
"Q54V98"	"DDB_G0280501"	"DDB_G0280501"	""
"Q54VA2"	"DDB_G0280495"	"fumH"	"fumarate hydratase, fumarase"
"Q54VA3"	"DDB_G0280493"	"DDB_G0280493"	""
"Q54VA4"	"DDB_G0280491"	"DDB_G0280491"	"RWP-RK domain-containing protein"
"Q54VA5"	"DDB_G0280489"	"wdr46"	"WD40 repeat-containing protein, U3 snoRNP protein, U3 small nucleolar ribonucleoprotein, BING4 C-terminal domain-containing protein"
"Q54VA6"	"DDB_G0280487"	"DDB_G0280487"	""
"Q54VA7"	"DDB_G0280485"	"jcdH"	"transcription factor jumonji, jmjC domain-containing protein"
"Q54VA8"	"DDB_G0280483"	"fsjA"	"rRNA methyltransferase, rRNA (uridine-2'-O-)-methyltransferase"
"Q54VA9"	"DDB_G0280481"	"DDB_G0280481"	"unknown"
"Q54VB0"	"DDB_G0280479"	"arrE"	"ADP-ribosylation factor-related, ARF-related"
"Q54VB1"	"DDB_G0280477"	"DDB_G0280477"	"leucine-rich repeat-containing protein (LRR)"
"Q54VB2"	"DDB_G0280527"	"tsc2"	"Ras GTPase-activating protein Tsc2"
"Q54VB3"	"DDB_G0280475"	"coq7"	"ubiquinone biosynthesis protein"
"Q54VB4"	"DDB_G0280473"	"hbx9"	"homeobox transcription factor Hbx9"
"Q54VB5"	"DDB_G0280471"	"DDB_G0280471"	""
"Q54VB6"	"DDB_G0280469"	"psrA"	"protein phosphatase 2A regulatory subunit psrA"
"Q54VB7"	"DDB_G0280467"	"DDB_G0280467"	"hssA/2C/7E family protein"
"Q54VB8"	"DDB_G0280465"	"DDB_G0280465"	"3-hydroxyacyl-CoA dehydrogenase family protein"
"Q54VB9"	"DDB_G0280463"	"DDB_G0280463"	"Ribosomal large subunit pseudouridine synthase D"
"Q54VC0"	"DDB_G0280461"	"DDB_G0280461"	"LISK family protein kinase, protein kinase, TKL group, tyrosine kinase-like protein"
"Q54VC1"	"DDB_G0280459"	"abcC15"	"ABC transporter C family protein"
"Q54VC2"	"DDB_G0280525"	"DDB_G0280525"	"GPI inositol-deacylase"
"Q54VC3"	"DDB_G0280457"	"DDB_G0280457"	""
"Q54VC4"	"DDB_G0280455"	"ascc2"	"ubiquitin system component Cue domain containing protein, activating signal cointegrator 1 complex subunit"
"Q54VC5"	"DDB_G0280453"	"DDB_G0280453"	"acyltransferase domain-containing protein"
"Q54VC6"	"DDB_G0280451"	"DDB_G0280451"	"galactose-binding domain-containing protein"
"Q54VC7"	"DDB_G0280449"	"pitE"	"phosphatidylinositol transfer protein 5"
"Q54VC8"	"DDB_G0280447"	"pelo"	"putative translation factor, eukaryotic release factor 1 family protein"
"Q54VC9"	"DDB_G0280445"	"DDB_G0280445"	"glutathione-dependent formaldehyde-activating, GFA family protein"
"Q54VD2"	"DDB_G0280443"	"DDB_G0280443"	"FNIP repeat-containing protein"
"Q54VD3"	"DDB_G0280441"	"DDB_G0280441"	""
"Q54VD5"	"DDB_G0280437"	"DDB_G0280437"	"Ras GTPase"
"Q54VD6"	"DDB_G0280435"	"dynA"	"dynactin 150 kDa subunit"
"Q54VD7"	"DDB_G0280433"	"DDB_G0280433"	"unknown"
"Q54VD8"	"DDB_G0280431"	"rio1"	"RIO1 subfamily protein kinase"
"Q54VD9"	"DDB_G0280429"	"DDB_G0280429"	""
"Q54VE0"	"DDB_G0280427"	"ap4e1"	"adaptin N-terminal domain-containing protein, epsilon adaptin, adaptor-related protein complex 4, epsilon 1 subunit"
"Q54VE1"	"DDB_G0280425"	"DDB_G0280425"	""
"Q54VE2"	"DDB_G0280423"	"DDB_G0280423"	"UBX domain-containing protein 8"
"Q54VE3"	"DDB_G0280421"	"DDB_G0280421"	"Protein FAM173B"
"Q54VE4"	"DDB_G0280419"	"DDB_G0280419"	""
"Q54VE5"	"DDB_G0280417"	"DDB_G0280417"	"unknown"
"Q54VE6"	"DDB_G0280415"	"DDB_G0280415"	"profilin/allergen superfamily protein"
"Q54VE7"	"DDB_G0280413"	"DDB_G0280413"	""
"Q54VE8"	"DDB_G0280411"	"DDB_G0280411"	"radical S-adenosyl methionine domain-containing protein"
"Q54VF0"	"DDB_G0280409"	"DDB_G0280409"	""
"Q54VF1"	"DDB_G0280407"	"ddx56"	"putative RNA helicase, DEAD/DEAH box helicase"
"Q54VF2"	"DDB_G0280405"	"DDB_G0280405"	""
"Q54VF3"	"DDB_G0280403"	"bloc1s4"	"biogenesis of lysosome-related organelles complex 1, subunit 4"
"Q54VF8"	"DDB_G0280357"	"DDB_G0280357"	""
"Q54VG0"	"DDB_G0280353"	"odhA"	"oxoglutarate dehydrogenase (succinyl-transferring), alpha-ketoglutarate dehydrogenase, 2-oxoglutarate dehydrogenase E1 component"
"Q54VG1"	"DDB_G0280351"	"gpaL"	"G-protein subunit alpha 12"
"Q54VG2"	"DDB_G0280349"	"DDB_G0280349"	""
"Q54VG3"	"DDB_G0280347"	"DDB_G0280347"	"ubiquitin-conjugating enzyme E2"
"Q54VG4"	"DDB_G0280345"	"sgtA"	"tetratricopeptide-like helical domain-containing protein (TPR)"
"Q54VG5"	"DDB_G0280343"	"DDB_G0280343"	"unknown"
"Q54VG6"	"DDB_G0280341"	"DDB_G0280341"	""
"Q54VG7"	"DDB_G0280051"	"DDB_G0280051"	"unknown"
"Q54VG9"	"DDB_G0280339"	"DDB_G0280339"	""
"Q54VH0"	"DDB_G0280337"	"DDB_G0280337"	""
"Q54VH1"	"DDB_G0280335"	"DDB_G0280335"	""
"Q54VH2"	"DDB_G0280333"	"DDB_G0280333"	""
"Q54VH3"	"DDB_G0280397"	"DDB_G0280397"	""
"Q54VH7"	"DDB_G0280329"	"DDB_G0280329"	"DHHC-type zinc finger-containing protein"
"Q54VH8"	"DDB_G0280327"	"DDB_G0280327"	"unknown"
"Q54VI0"	"DDB_G0280323"	"DDB_G0280323"	"unknown"
"Q54VI1"	"DDB_G0280321"	"fhkE"	"forkhead-associated kinase protein E"
"Q54VI2"	"DDB_G0280393"	"DDB_G0280393"	"RNA-binding region RNP-1 domain-containing protein, RNA recognition motif-containing protein RRM, CCHC-type zinc finger-containing protein"
"Q54VI3"	"DDB_G0280319"	"glud2"	"NAD+ dependent glutamate dehydrogenase"
