"UniProt_ID"	"GENE_ID"	"Gene_Name"	"Gene_products"	"padj"
"Q54T47"	"DDB_G0282009"	"ahhA"	"alpha adducin"	0.2
"Q54U86"	"DDB_G0281213"	"pex3"	"transmembrane protein, peroxisomal biogenesis factor 3, peroxin 3"	0.2
"Q54VC8"	"DDB_G0280447"	"pelo"	"putative translation factor, eukaryotic release factor 1 family protein"	0.2
"Q54XG2"	"DDB_G0278983"	"imp3"	"U3 small nucleolar ribonucleoprotein protein"	0.2
"Q54Y17"	"DDB_G0278471"	"DDB_G0278471"	"LETM1 and EF-hand domain-containing protein 1, mitochondrial"	0.2
"Q551I4"	"DDB_G0276573"	"DDB_G0276573"	""	0.2
"Q552K5"	"DDB_G0275971"	"DDB_G0275971"	"RNA recognition motif-containing protein RRM"	0.2
"Q553E8"	"DDB_G0275847"	"DDB_G0275847"	"UPF0568 family protein"	0.2
"Q555Q9"	"DDB_G0274105"	"glgB"	"1,4-alpha-glucan branching enzyme, branching enzyme"	0.2
"Q55C24"	"DDB_G0270260"	"nhp6"	"HMG1/2 (high mobility group) box-containing protein"	0.2
"Q55DB4"	"DDB_G0269714"	"tdo"	"tryptophan 2,3-dioxygenase"	0.2
"Q55G88"	"DDB_G0268522"	"psmG3"	"proteasome assembly chaperone 3"	0.2
"Q75JY8"	"DDB_G0277615"	"DDB_G0277615"	"putative actin binding protein, ADF/cofilin-like domain-containing protein"	0.2
"Q7KWS8"	"DDB_G0276283"	"utp13"	"WD40 repeat-containing protein, U3 snoRNP protein, U3 small nucleolar ribonucleoprotein"	0.2
"Q86HD8"	"DDB_G0276543"	"DDB_G0276543"	""	0.2
"Q86HW7"	"DDB_G0276425"	"nutf2"	"nuclear transport factor 2"	0.2
"Q86L27"	"DDB_G0276839"	"DDB_G0276839"	""	0.2
"Q8T196"	"DDB_G0274203"	"DDB_G0274203"	""	0.2
"Q8T683"	"DDB_G0293450"	"abcG9"	"ABC transporter G family protein"	0.2
"Q9UA41"	"DDB_G0280401"	"cypD"	"cyclophilin D"	0.2
"Q4W6B5"	"DDB_G0288777"	"mppB"	"mitochondrial processing peptidase beta subunit"	0.21
"Q54CZ8"	"DDB_G0292610"	"DDB_G0292610"	"mannose-6-phosphate receptor domain-containing protein"	0.21
"Q54JM0"	"DDB_G0287959"	"DDB_G0287959"	"Ctr copper transporter family protein"	0.21
"Q54JM9"	"DDB_G0287939"	"nit2"	"nitrilase 2"	0.21
"Q54JY6"	"DDB_G0287735"	"DDB_G0287735"	"putative 5'-nucleotidase"	0.21
"Q54NL2"	"DDB_G0285203"	"DDB_G0285203"	""	0.21
"Q54QP7"	"DDB_G0283707"	"DDB_G0283707"	"LMBR1-like conserved region-containing protein"	0.21
"Q54R15"	"DDB_G0283441"	"abpG"	"actin binding protein G"	0.21
"Q54SF7"	"DDB_G0282493"	"aatB"	"aspartate aminotransferase, aspartate transaminase"	0.21
"Q54US7"	"DDB_G0280853"	"gtaU"	"putative GATA-binding transcription factor, GATA zinc finger domain-containing protein 21"	0.21
"Q54UV2"	"DDB_G0280797"	"DDB_G0280797"	"putative ribosomal RNA processing protein RRP19"	0.21
"Q54WG0"	"DDB_G0279677"	"denr"	"density-regulated protein"	0.21
"Q54Y48"	"DDB_G0278415"	"DDB_G0278415"	"abhydrolase domain-containing protein"	0.21
"Q54Y98"	"DDB_G0278349"	"tra2"	"RNA-binding region RNP-1 domain-containing protein, RNA recognition motif-containing protein RRM, putative transformer-2 protein"	0.21
"Q551H3"	"DDB_G0276579"	"msrA"	"peptide methionine sulfoxide reductase"	0.21
"Q55C82"	"DDB_G0270174"	"aprt"	"adenine phosphoribosyltransferase"	0.21
"Q7KWM9"	"DDB_G0272738"	"iunH"	"N-D-ribosylpurine ribohydrolase, inosine-uridine nucleoside N-ribohydrolase"	0.21
"Q86A85"	"DDB_G0274321"	"purF"	"amidophosphoribosyltransferase, phosphoribosylpyrophosphate amidotransferase"	0.21
"Q86JE1"	"DDB_G0272130"	"DDB_G0272130"	"recoverin family protein"	0.21
"Q8SSU2"	"DDB_G0274223"	"DDB_G0274223"	"putative glutathione S-transferase"	0.21
"Q8T197"	"DDB_G0274201"	"DDB_G0274201"	"short-chain dehydrogenase/reductase (SDR) family protein"	0.21
"B0G164"	"DDB_G0288859"	"jcdJ"	"C2H2-type zinc finger-containing protein, transcription factor jumonji, jmjC domain-containing protein"	0.22
"O60999"	"DDB_G0291972"	"culA"	"cullin A"	0.22
"Q54CD3"	"DDB_G0293042"	"DDB_G0293042"	""	0.22
"Q54DA8"	"DDB_G0292404"	"sti1"	"tetratricopeptide-like helical domain-containing protein (TPR), stress-induced-phosphoprotein 1"	0.22
"Q54DG6"	"DDB_G0292286"	"DDB_G0292286"	""	0.22
"Q54E71"	"DDB_G0291728"	"arpE"	"actin related protein 5"	0.22
"Q54G31"	"DDB_G0290465"	"DDB_G0290465"	"unknown"	0.22
"Q54H87"	"DDB_G0289621"	"DDB_G0289621"	""	0.22
"Q54IG1"	"DDB_G0288863"	"agpC"	"putative 1-acylglycerol-3-phosphate O-acyltransferase"	0.22
"Q54IU6"	"DDB_G0288529"	"DDB_G0288529"	"POTE ankyrin domain family member A"	0.22
"Q54JQ6"	"DDB_G0287847"	"DDB_G0287847"	"U box domain-containing protein, putative E3 ubiquitin-protein ligase"	0.22
"Q54JV5"	"DDB_G0287779"	"arpG"	"actin related protein 8"	0.22
"Q54K95"	"DDB_G0287515"	"tat"	"tyrosine transaminase, tyrosine aminotransferase"	0.22
"Q54LW1"	"DDB_G0286383"	"DDB_G0286383"	""	0.22
"Q54MM7"	"DDB_G0285853"	"polA4"	"DNA polymerase alpha primase subunit, DNA primase small subunit"	0.22
"Q54MU5"	"DDB_G0285653"	"DDB_G0285653"	"Protein BCP1"	0.22
"Q54N00"	"DDB_G0285589"	"forH"	"formin H"	0.22
"Q54NV4"	"DDB_G0284969"	"DDB_G0284969"	"tetratricopeptide-like helical domain-containing protein (TPR), Sel1-like repeat-containing protein"	0.22
"Q54PE1"	"DDB_G0284619"	"DDB_G0284619"	""	0.22
"Q54PH8"	"DDB_G0284533"	"rps13"	"40S ribosomal protein S13"	0.22
"Q54PT7"	"DDB_G0284339"	"aplN"	"amoebapore-like protein N"	0.22
"Q54QJ0"	"DDB_G0283769"	"hbs1"	"HBS1-like protein"	0.22
"Q54TS3"	"DDB_G0281589"	"DDB_G0281589"	"COBW domain-containing protein, cobalamin (vitamin B12) biosynthesis family protein, cobalamin synthesis protein/P47K family protein"	0.22
"Q54WA4"	"DDB_G0279855"	"mrps10"	"ribosomal protein S10, mitochondrial"	0.22
"Q54WI1"	"DDB_G0279647"	"DDB_G0279647"	"Immunoglobulin-binding protein 1"	0.22
"Q54WI5"	"DDB_G0279639"	"DDB_G0279639"	"SAP DNA-binding domain-containing protein, RNA-binding region RNP-1 domain-containing protein, RNA recognition motif-containing protein RRM"	0.22
"Q54WR8"	"DDB_G0279475"	"gna1"	"glucosamine 6-phosphate N-acetyltransferase"	0.22
"Q54XK9"	"DDB_G0278873"	"gnpda1"	"glucosamine-6-phosphate isomerase, glucosamine-6-phosphate deaminase"	0.22
"Q54YY5"	"DDB_G0278007"	"DDB_G0278007"	"unknown"	0.22
"Q556Y1"	"DDB_G0273191"	"rps30-1"	"40S ribosomal protein S30"	0.22
"Q55DI2"	"DDB_G0269652"	"DDB_G0269652"	""	0.22
"Q55DV6"	"DDB_G0269512"	"DDB_G0269512"	""	0.22
"Q55FB8"	"DDB_G0267410"	"pslA"	"unknown"	0.22
"Q55G92"	"DDB_G0267766"	"gfm2"	"mitochondrial translation elongation factor G"	0.22
"Q86HV6"	"DDB_G0276431"	"DDB_G0276431"	""	0.22
"Q86IE7"	"DDB_G0275625"	"tlp4"	""	0.22
"Q86JD4"	"DDB_G0276359"	"sec11"	"microsomal signal peptidase subunit"	0.22
"Q8T2Q3"	"DDB_G0275141"	"utp5"	"WD40 repeat-containing protein, U3 snoRNP protein, U3 small nucleolar ribonucleoprotein, NUC189 domain-containing protein"	0.22
"Q95NZ8"	"DDB_G0267416"	"rpmA"	"DNA-dependent RNA polymerase"	0.22
"Q9TGM3"	"DDB_G0294054"	"DidioMp36"	""	0.22
"Q9XZJ3"	"DDB_G0267384"	"culB"	"cullin B"	0.22
"Q54DS6"	"DDB_G0291974"	"docA"	"putative guanine nucleotide exchange factor DocA"	0.23
"Q54F12"	"DDB_G0291195"	"DDB_G0291195"	"Putative nicotinamide N-methyltransferase"	0.23
"Q54FN9"	"DDB_G0290725"	"lyrm4"	"LYR motif-containing protein 4"	0.23
"Q54H42"	"DDB_G0289715"	"DDB_G0289715"	""	0.23
"Q54I41"	"DDB_G0289025"	"rps7"	"40S ribosomal protein S7"	0.23
"Q54I70"	"DDB_G0288965"	"DDB_G0288965"	""	0.23
"Q54KI4"	"DDB_G0287325"	"DDB_G0287325"	"AP2 complex protein Eps15"	0.23
"Q54KR6"	"DDB_G0287201"	"DDB_G0287201"	""	0.23
"Q54LL9"	"DDB_G0286579"	"dnaja5"	"DnaJ homolog subfamily A member 5"	0.23
"Q54NY7"	"DDB_G0284915"	"DDB_G0284915"	"class II aldolase/adducin, N-terminal domain-containing protein"	0.23
"Q54RI9"	"DDB_G0283119"	"xpot"	"armadillo-like helical domain-containing protein, exportin, tRNA"	0.23
"Q54S39"	"DDB_G0282683"	"DDB_G0282683"	"cytochrome b5 domain-containing protein"	0.23
"Q54SZ2"	"DDB_G0282117"	"DDB_G0282117"	""	0.23
"Q54T09"	"DDB_G0282061"	"DDB_G0282061"	""	0.23
"Q54TE6"	"DDB_G0281789"	"DDB_G0281789"	"Phosphoglucosamine mutase"	0.23
"Q54TQ9"	"DDB_G0281609"	"DDB_G0281609"	""	0.23
"Q54VF3"	"DDB_G0280403"	"bloc1s4"	"biogenesis of lysosome-related organelles complex 1, subunit 4"	0.23
"Q54VI6"	"DDB_G0280313"	"ssr2"	"translocon-associated protein subunit beta"	0.23
"Q54XJ3"	"DDB_G0278955"	"DDB_G0278955"	"YrdC domain-containing protein, mitochondrial"	0.23
"Q555M9"	"DDB_G0274847"	"DDB_G0274847"	"nucleotidyltransferase domain-containing protein"	0.23
"Q55AH5"	"DDB_G0271882"	"vatF"	"vacuolar ATPase subunit F"	0.23
"Q55D55"	"DDB_G0269786"	"ccdc25"	"coiled-coil domain-containing protein 25"	0.23
"Q7KWR7"	"DDB_G0276273"	"H2Bv2"	"histone H2B domain-containing protein"	0.23
"Q86AS1"	"DDB_G0274185"	"DDB_G0274185"	"putative oxidoreductase, Gfo/Idh/MocA family"	0.23
"Q8MYE6"	"DDB_G0275953"	"DDB_G0275953"	"molybdenum cofactor sulfurase domain-containing protein"	0.23
"Q94504"	"DDB_G0279187"	"cprG"	"cysteine proteinase 7"	0.23
"C7G046"	"DDB_G0286969"	"DDB_G0286969"	"type A von Willebrand factor (VWFA) domain-containing protein, MIF4G-like, type 3 domain-containing protein, putative eukaryotic translation initiation factor 4 gamma (eIF4G)"	0.24
"O21033"	"DDB_G0294066"	"mrpl14"	"ribosomal protein L14, mitochondrial"	0.24
"P14132"	"DDB_G0289877"	"rps9"	"ribosomal protein 1024, 40S ribosomal protein S9"	0.24
"Q1ZXE8"	"DDB_G0285821"	"srp68"	"signal recognition particle 68 kDa subunit"	0.24
"Q54CX6"	"DDB_G0292566"	"hibA"	"3-hydroxyisobutyrate dehydrogenase"	0.24
"Q54FJ9"	"DDB_G0290799"	"DDB_G0290799"	"uncharacterised protein family, carbohydrate kinase-related"	0.24
"Q54FT2"	"DDB_G0290603"	"DDB_G0290603"	""	0.24
"Q54GL1"	"DDB_G0290085"	"DDB_G0290085"	"Glycerophosphodiester phosphodiesterase GDE1"	0.24
"Q54KH7"	"DDB_G0287337"	"taf5"	"transcription initiation factor TFIID subunit, TFIID subunit"	0.24
"Q54KT7"	"DDB_G0287131"	"gtf2f2"	"TFIIF subunit"	0.24
"Q54LY8"	"DDB_G0286299"	"DDB_G0286299"	"unknown"	0.24
"Q54MM6"	"DDB_G0285855"	"dlcC"	"cytoplasmic dynein light chain, roadblock/LC7 family protein"	0.24
"Q54MM9"	"DDB_G0285851"	"DDB_G0285851"	""	0.24
"Q54Q47"	"DDB_G0284099"	"DDB_G0284099"	""	0.24
"Q54QQ9"	"DDB_G0283683"	"DDB_G0283683"	"leucine-rich repeat-containing protein (LRR)"	0.24
"Q54UQ2"	"DDB_G0280897"	"pgmB"	"phosphoglucomutase"	0.24
"Q54YM7"	"DDB_G0278163"	"DDB_G0278163"	"TM2 domain-containing protein"	0.24
"Q559P7"	"DDB_G0272460"	"DDB_G0272460"	""	0.24
"Q55B86"	"DDB_G0271408"	"DDB_G0271408"	""	0.24
"Q55C09"	"DDB_G0270834"	"sgmA"	"sphingomyelinase A"	0.24
"Q55CE1"	"DDB_G0270726"	"uduC"	"pyridoxal phosphate-dependent decarboxylase family protein"	0.24
"Q55E52"	"DDB_G0270500"	"d2hgdh"	"D-2-hydroxyglutarate dehydrogenase"	0.24
"Q55E81"	"DDB_G0269358"	"DDB_G0269358"	""	0.24
"Q55EZ6"	"DDB_G0268702"	"copD"	"coatomer protein complex delta subunit"	0.24
"Q55GN6"	"DDB_G0267588"	"pikI"	"phosphatidylinositol phosphate kinase PikI"	0.24
"Q75JS7"	"DDB_G0272200"	"DDB_G0272200"	""	0.24
"Q9NH03"	"DDB_G0278735"	"fps"	"farnesyl diphosphate synthase"	0.24
"Q9Y1W0"	"DDB_G0285211"	"fadA"	"delta 5 fatty acid desaturase"	0.24
"B0G165"	"DDB_G0295675"	"DDB_G0295675"	"putative transmembrane protein, leucine-rich repeat-containing protein (LRR), agglutinin domain-containing protein"	0.25
"O21035"	"DDB_G0294062"	"mrps14"	"ribosomal protein S14, ribosomal protein S14, mitochondrial"	0.25
"P42522"	"DDB_G0276617"	"myoC"	"myosin IC heavy chain"	0.25
"Q1ZXL0"	"DDB_G0275795"	"DDB_G0275795"	"pleckstrin homology (PH) domain-containing protein, PH domain-containing protein"	0.25
"Q54AV2"	"DDB_G0271418"	"DDB_G0271418"	""	0.25
"Q54BB6"	"DDB_G0293770"	"DDB_G0293770"	"peptidase C19 family protein, putative ubiquitin carboxyl-terminal hydrolase (UCH)"	0.25
"Q54BC2"	"DDB_G0293758"	"H2Bv1"	"histone H2B domain-containing protein"	0.25
"Q54CB5"	"DDB_G0293070"	"DDB_G0293070"	"WD40 repeat-containing protein, TROVE domain-containing protein, NACHT domain-containing protein, telomerase-associated protein 1-like protein (TEP1)"	0.25
"Q54CH2"	"DDB_G0292922"	"DDB_G0292922"	""	0.25
"Q54EM3"	"DDB_G0291452"	"DDB_G0291452"	""	0.25
"Q54ID0"	"DDB_G0288831"	"cox17"	"cytochrome c oxidase copper chaperone"	0.25
"Q54IY9"	"DDB_G0288419"	"DDB_G0288419"	"unknown"	0.25
"Q54MA5"	"DDB_G0286077"	"commd6"	"COMM domain-containing protein 6"	0.25
"Q54ML4"	"DDB_G0285875"	"DDB_G0285875"	"U3 snoRNP protein, U3 small nucleolar ribonucleoprotein, BP28, C-terminal domain-containing protein"	0.25
"Q54NS1"	"DDB_G0285011"	"DDB_G0285011"	"putative mitochondrial transferase caf17"	0.25
"Q54Q32"	"DDB_G0284115"	"DDB_G0284115"	""	0.25
"Q54QG5"	"DDB_G0283893"	"DDB_G0283893"	"unknown"	0.25
"Q54TW3"	"DDB_G0281469"	"rpl29"	"S60 ribosomal protein L29"	0.25
"Q54UU1"	"DDB_G0280827"	"trappc4"	"trafficking protein particle complex subunit 4"	0.25
"Q54W21"	"DDB_G0279963"	"DDB_G0279963"	""	0.25
"Q54WT8"	"DDB_G0279443"	"aqpB"	"aquaporin B"	0.25
"Q54WW4"	"DDB_G0279357"	"DDB_G0279357"	"putative asparaginase 2, putative L-asparaginase"	0.25
"Q550H7"	"DDB_G0276977"	"rad21"	"cohesin subunit"	0.25
"Q550K0"	"DDB_G0277077"	"DDB_G0277077"	"UvrB/UvrC domain-containing protein"	0.25
"Q555C8"	"DDB_G0274657"	"DDB_G0274657"	"glutaredoxin-related family protein"	0.25
"Q55A40"	"DDB_G0272358"	"DDB_G0272358"	""	0.25
"Q55BX3"	"DDB_G0270324"	"DDB_G0270324"	"NDR family protein"	0.25
"Q55CP6"	"DDB_G0269966"	"ddx1"	"putative RNA helicase, DEAD/DEAH box helicase, SPla/RYanodine receptor SPRY domain-containing protein"	0.25
"Q55DP8"	"DDB_G0270562"	"acy1"	"N-acyl-L-amino-acid amidohydrolase, aminoacylase"	0.25
"Q55EI7"	"DDB_G0268878"	"DDB_G0268878"	""	0.25
"Q55EU1"	"DDB_G0268966"	"lip1"	"lipase family member 1"	0.25
"Q55FV9"	"DDB_G0268396"	"sep15"	"15 kDa selenoprotein"	0.25
"Q869Z1"	"DDB_G0275313"	"dhx9"	"DEAD/DEAH box helicase, ATP-dependent RNA helicase"	0.25
"Q8MML6"	"DDB_G0274553"	"vatH"	"vacuolar ATPase subunit H"	0.25
"Q94502"	"DDB_G0269154"	"modA"	"alpha-glucosidase II"	0.25
"O96624"	"DDB_G0292804"	"arcC"	"actin-related protein 2/3 complex, subunit 3"	0.26
"Q54CZ9"	"DDB_G0292722"	"DDB_G0292722"	""	0.26
"Q54D07"	"DDB_G0292594"	"cyc1"	"cytochrome c1"	0.26
"Q54D88"	"DDB_G0292430"	"DDB_G0292430"	""	0.26
"Q54EU4"	"DDB_G0291332"	"DDB_G0291332"	"Probable 1-acyl-sn-glycerol-3-phosphate acyltransferase"	0.26
"Q54FJ8"	"DDB_G0290801"	"DDB_G0290801"	"Transmembrane protein 199"	0.26
"Q54G42"	"DDB_G0290417"	"chid1"	"chitinase domain-containing protein 1, glycosyl hydrolase 18 family protein"	0.26
"Q54HC2"	"DDB_G0289563"	"mlcC"	"myoC light chain"	0.26
"Q54I88"	"DDB_G0288925"	"DDB_G0288925"	""	0.26
"Q54KM7"	"DDB_G0287255"	"gcvP"	"glycine dehydrogenase (decarboxylating), glycine cleavage system P-protein"	0.26
"Q54MG1"	"DDB_G0285981"	"DDB_G0285981"	"type A von Willebrand factor (VWFA) domain-containing protein"	0.26
"Q54MG7"	"DDB_G0285969"	"deeJ"	"protein DJ-1"	0.26
"Q54NT1"	"DDB_G0284999"	"DDB_G0284999"	"unknown"	0.26
"Q54PG9"	"DDB_G0284539"	"DDB_G0284539"	"Nucleolar MIF4G domain-containing protein 1"	0.26
"Q54RR5"	"DDB_G0282967"	"acadsb"	"acyl-Coenzyme A dehydrogenase, short/branched chain, acyl-CoA dehydrogenase"	0.26
"Q54SH6"	"DDB_G0282463"	"DDB_G0282463"	"carbohydrate-binding domain-containing protein, peptidase C19 family protein, putative ubiquitin carboxyl-terminal hydrolase (UCH)"	0.26
"Q54SQ0"	"DDB_G0282313"	"DDB_G0282313"	"heat shock protein DnaJ family protein"	0.26
"Q54VF1"	"DDB_G0280407"	"ddx56"	"putative RNA helicase, DEAD/DEAH box helicase"	0.26
"Q54W35"	"DDB_G0279909"	"lipA"	"putative arachidonate 12-lipoxygenase, lipoxygenase"	0.26
"Q54W51"	"DDB_G0279905"	"DDB_G0279905"	"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial"	0.26
"Q54W87"	"DDB_G0279829"	"DDB_G0279829"	"putative transmembrane protein, DUF1295 family protein"	0.26
"Q55D11"	"DDB_G0269824"	"DDB_G0269824"	""	0.26
"Q55FS4"	"DDB_G0267974"	"DDB_G0267974"	""	0.26
"Q55GR8"	"DDB_G0267546"	"DDB_G0267546"	"Thiamin pyrophosphokinase 1"	0.26
"Q8I8U2"	"DDB_G0281957"	"ap1g1"	"clathrin-adaptor gamma chain, AP-1 complex gamma 1 subunit, gamma adaptin"	0.26
"Q8N0B4"	"DDB_G0286189"	"sumo"	"small ubiquitin-related modifier"	0.26
"Q8T2H8"	"DDB_G0277405"	"DDB_G0277405"	"SAP DNA-binding domain-containing protein"	0.26
"Q9GPM4"	"DDB_G0287595"	"pgkA"	"phosphoglycerate kinase, calmodulin-binding protein"	0.26
"P02599"	"DDB_G0279407"	"calA"	"calmodulin"	0.27
"P54651"	"DDB_G0267400"	"hspD"	"heat shock protein 90"	0.27
"Q54C34"	"DDB_G0293234"	"DDB_G0293234"	"N-acetyltransferase, non-catalytic subunit"	0.27
"Q54E53"	"DDB_G0291848"	"csn3"	"proteasome component region PCI (PINT) domain-containing protein, COP9 signalosome complex subunit 3"	0.27
"Q54HS9"	"DDB_G0289247"	"apm1"	"mu1, clathrin-adaptor medium chain AP-1"	0.27
"Q54IX0"	"DDB_G0288465"	"DDB_G0288465"	"putative pantetheine-phosphate adenylyltransferase"	0.27
"Q54JK4"	"DDB_G0287993"	"vps60"	"SNF7 family protein"	0.27
"Q54KN1"	"DDB_G0287213"	"rcdJJ"	"random cDNA clone veg110"	0.27
"Q54KP5"	"DDB_G0287215"	"DDB_G0287215"	""	0.27
"Q54KV8"	"DDB_G0287073"	"DDB_G0287073"	"HMG1/2 (high mobility group) box-containing protein"	0.27
"Q54LK1"	"DDB_G0286603"	"DDB_G0286603"	"glutamine-fructose-6-phosphate transaminase (isomerizing), glucosamine-fructose-6-phosphate aminotransferase"	0.27
"Q54NM9"	"DDB_G0285159"	"stt3"	"dolichyl-diphosphooligosaccharide-protein glycotransferase subunit Stt3"	0.27
"Q54PV7"	"DDB_G0284267"	"eIF2a"	"eukaryotic translation initiation factor 2A"	0.27
"Q54S43"	"DDB_G0282677"	"spt16"	"FACT complex subunit SPT16"	0.27
"Q54ST0"	"DDB_G0282243"	"nhp2l1"	"U4/U6 small nuclear ribonucleoprotein, non-histone chromosome protein 2-like 1, high mobility group-like nuclear protein"	0.27
"Q54SY1"	"DDB_G0282149"	"DDB_G0282149"	""	0.27
"Q54TB6"	"DDB_G0281875"	"DDB_G0281875"	""	0.27
"Q54TC5"	"DDB_G0281937"	"DDB_G0281937"	"maf family protein"	0.27
"Q54TM2"	"DDB_G0281669"	"lmbd2B"	"LMBR1 family protein"	0.27
"Q54XZ6"	"DDB_G0278507"	"DDB_G0278507"	""	0.27
"Q54YS6"	"DDB_G0278107"	"DDB_G0278107"	"pyridoxamine-phosphate oxidase, pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating)"	0.27
"Q54ZW2"	"DDB_G0277349"	"DDB_G0277349"	""	0.27
"Q555V7"	"DDB_G0274813"	"DDB_G0274813"	"WD40-like domain-containing protein"	0.27
"Q55C72"	"DDB_G0270194"	"DDB_G0270194"	"DUF866 family protein"	0.27
"Q55CY1"	"DDB_G0269856"	"ddcA"	"group IV decarboxylase, Orn/DAP/Arg decarboxylase 2 domain-containing protein, putative diaminopimelate decarboxylase"	0.27
"Q55EJ2"	"DDB_G0268870"	"DDB_G0268870"	""	0.27
"Q55FC8"	"DDB_G0268168"	"png"	"peptide N-glycanase"	0.27
"Q55FR2"	"DDB_G0267996"	"DDB_G0267996"	""	0.27
"Q75JB5"	"DDB_G0271790"	"tmem14B"	"transmembrane protein 14 B"	0.27
"Q75JI3"	"DDB_G0276153"	"nsfA"	"N-ethylmaleimide-sensitive fusion protein"	0.27
"Q75JL7"	"DDB_G0276067"	"ddcB"	"group IV decarboxylase, putative diaminopimelate decarboxylase"	0.27
"Q86IF6"	"DDB_G0272989"	"vps5"	"Phox domain-containing protein, putative sorting nexin"	0.27
"O96622"	"DDB_G0277825"	"arcA"	"actin-related protein 2/3 complex, subunit 1"	0.28
"P13021"	"DDB_G0267374"	"acpA"	"F-actin-capping protein subunit beta"	0.28
"Q03409"	"DDB_G0271148"	"rps25"	"40S ribosomal protein S25"	0.28
"Q1ZXQ0"	"DDB_G0270932"	"phr"	"Sca1 complex protein PHR"	0.28
"Q54CV2"	"DDB_G0292682"	"trappc8"	"trafficking protein particle complex subunit 8"	0.28
"Q54FE0"	"DDB_G0290921"	"bloc1s6"	"biogenesis of lysosome-related organelles complex 1, subunit 6"	0.28
"Q54FM3"	"DDB_G0290759"	"eif2b4"	"eIF2B GDP-GTP exchange factor, translation initiation factor eIF2B delta subunit"	0.28
"Q54G55"	"DDB_G0290393"	"DDB_G0290393"	"erg28 family protein"	0.28
"Q54LE9"	"DDB_G0286673"	"DDB_G0286673"	""	0.28
"Q54LY4"	"DDB_G0286305"	"DDB_G0286305"	"zinc-containing alcohol dehydrogenase (ADH)"	0.28
"Q54PQ2"	"DDB_G0284389"	"fia"	"actin domain-containing protein, filamin/ABP280 repeat-containing protein, filactin"	0.28
"Q54QQ0"	"DDB_G0283701"	"guaB"	"IMP dehydrogenase, inosine-5'-monophosphate dehydrogenase"	0.28
"Q54QR3"	"DDB_G0283603"	"rab32A"	"Rab GTPase"	0.28
"Q54SG2"	"DDB_G0282485"	"cepB"	"centrosomal protein 44 kDa"	0.28
"Q54U01"	"DDB_G0281415"	"DDB_G0281415"	"Dipeptidyl peptidase 8"	0.28
"Q54XA8"	"DDB_G0279091"	"DDB_G0279091"	""	0.28
"Q54YS0"	"DDB_G0278111"	"DDB_G0278111"	"Programmed cell death protein 5"	0.28
"Q55AQ9"	"DDB_G0271668"	"rpl36"	"S60 ribosomal protein L36"	0.28
"Q55BD5"	"DDB_G0271282"	"csn7"	"proteasome component region PCI (PINT) domain-containing protein, COP9 signalosome complex subunit 7"	0.28
"Q55BN7"	"DDB_G0270424"	"rpl35a"	"S60 ribosomal protein L35a"	0.28
"Q55D56"	"DDB_G0269784"	"DDB_G0269784"	"Uncharacterized Nudix hydrolase yfcD"	0.28
"Q75JX1"	"DDB_G0272350"	"sgkC"	"sphingosine kinase related protein"	0.28
"Q76P07"	"DDB_G0277165"	"DDB_G0277165"	"BRSK subfamily protein kinase DDB_G0277165"	0.28
"Q86AV6"	"DDB_G0276965"	"gltA"	"citrate synthase"	0.28
"Q86HX3"	"DDB_G0276419"	"DDB_G0276419"	"thioesterase superfamily protein"	0.28
"Q86IW5"	"DDB_G0274347"	"DDB_G0274347"	""	0.28
"O21034"	"DDB_G0294064"	"DidioMp30"	"unknown"	0.29
"Q1ZXF6"	"DDB_G0284555"	"sf3b2"	"PSP proline-rich domain-containing protein, splicing factor 3B subunit 2"	0.29
"Q54B14"	"DDB_G0293986"	"qpct"	"peptidase M28E domain containing-protein, glutaminyl-peptide cyclotransferase"	0.29
"Q54B74"	"DDB_G0293862"	"DDB_G0293862"	"haloacid dehalogenase-like hydrolase"	0.29
"Q54CE0"	"DDB_G0293168"	"ddx17"	"putative RNA helicase, DEAD/DEAH box helicase"	0.29
"Q54EL0"	"DDB_G0291464"	"DDB_G0291464"	""	0.29
"Q54EP8"	"DDB_G0291410"	"DDB_G0291410"	""	0.29
"Q54ES6"	"DDB_G0291362"	"rpc19"	"putative RNA polymerase III subunit, putative RNA polymerase I subunit"	0.29
"Q54GN8"	"DDB_G0290031"	"DDB_G0290031"	"ribosome biogenesis protein"	0.29
"Q54HF1"	"DDB_G0289505"	"act24"	"actin"	0.29
"Q54I26"	"DDB_G0289053"	"DDB_G0289053"	"RNA recognition motif-containing protein RRM"	0.29
"Q54LR3"	"DDB_G0286447"	"DDB_G0286447"	"putative transcriptional regulator"	0.29
"Q54NG9"	"DDB_G0285267"	"sdh"	"saccharopine dehydrogenase"	0.29
"Q54Q51"	"DDB_G0284093"	"rps16"	"40S ribosomal protein S16"	0.29
"Q54QZ3"	"DDB_G0283475"	"DDB_G0283475"	"E3 ubiquitin-protein ligase UBR3"	0.29
"Q54R07"	"DDB_G0283455"	"DDB_G0283455"	"unknown"	0.29
"Q54R54"	"DDB_G0283403"	"DDB_G0283403"	"Uncharacterized protein C12orf4"	0.29
"Q54RC0"	"DDB_G0283327"	"eppA"	"Erk2-dependent phosphoprotein"	0.29
"Q54RC3"	"DDB_G0283205"	"top1"	"DNA topoisomerase I"	0.29
